,keyword,score
0,java,0.5060721543419361
2,methods,0.2473249531738698
1,method,0.2473249531738698
3,applets,0.24178577263475984
4,applet,0.24178577263475984
5,class,0.219800377969108
6,classes,0.219800377969108
7,objects,0.1906363713702075
8,object,0.1906363713702075
10,program,0.1632425292517245
11,programming,0.1632425292517245
9,programs,0.1632425292517245
12,int,0.15371244243850485
13,ints,0.15371244243850485
14,code,0.1382555936218357
15,string,0.13356694902356753
16,strings,0.13356694902356753
17,basics,0.12195641570066114
18,basic,0.12195641570066114
19,buttons,0.1189603483736788
20,button,0.1189603483736788
21,new,0.11483986602118554
23,arrays,0.10851490767551468
22,array,0.10851490767551468
24,data,0.10661206509923593
25,public,0.09856655696481281
26,allocate,0.08192407238783173
27,allocation,0.08192407238783173
28,allocated,0.08192407238783173
29,allocates memory,0.0800762323555988
30,constant,0.07910475663448695
31,constants,0.07910475663448695
32,file,0.07899156857440569
33,files,0.07899156857440569
34,browser,0.07844280630528074
35,following,0.07640022570470106
36,follows,0.07640022570470106
37,operating,0.07154070344335958
38,operations,0.07154070344335958
39,operator,0.07154070344335958
40,operators,0.07154070344335958
41,basicsjava,0.07090539142604757
42,garbage,0.06526152170869962
46,referring,0.06436793172743793
47,referred,0.06436793172743793
43,refer,0.06436793172743793
45,references,0.06436793172743793
44,reference,0.06436793172743793
48,comments,0.06149869789633392
49,comment,0.06149869789633392
50,commenting,0.06149869789633392
51,void,0.0610002165436721
52,reserved,0.06092461483547424
53,reserve,0.06092461483547424
54,expr,0.05915312221484959
56,application,0.05902323542958472
55,applications,0.05902323542958472
58,contains,0.05797351657616384
59,contain,0.05797351657616384
60,contained,0.05797351657616384
57,containing,0.05797351657616384
61,args,0.05765646408436482
62,type,0.0566523370348226
63,types,0.0566523370348226
64,variables,0.05615865184970193
65,main lines,0.05188262483858776
68,compilation,0.05170047686606803
66,compiler,0.05170047686606803
67,compile,0.05170047686606803
69,bits,0.051659043697984776
70,bit,0.051659043697984776
71,dynamic,0.05138943337070423
72,dynamically,0.05138943337070423
73,null,0.050883955341561336
74,width,0.05068758196910075
75,stack,0.05062523611804368
76,stacks,0.05062523611804368
77,simple,0.049859188076761596
78,use,0.049073053589138785
79,uses,0.049073053589138785
80,useful,0.049073053589138785
81,stat,0.04858662746591529
82,stats,0.04858662746591529
83,environment variable,0.04838617231284276
84,example,0.048352014145684324
85,extends,0.048278940882599174
87,definitions,0.04823022407779153
86,definition,0.04823022407779153
88,line,0.047973725496561835
89,intentionally left,0.047829007492035024
90,note,0.047674491382929556
91,primitive,0.04756702067679067
92,creates,0.04611928552070418
93,create,0.04611928552070418
94,creating,0.04611928552070418
95,created,0.04611928552070418
96,parameters,0.04601367767011197
97,parameter,0.04601367767011197
99,literal,0.045781541204551295
98,literals,0.045781541204551295
100,exception,0.04558874701471569
101,final,0.04517923490262091
102,automatically,0.0451583001928819
103,automaticallys,0.0451583001928819
104,automatic,0.0451583001928819
105,defined,0.04470617086790783
106,defines,0.04470617086790783
107,define,0.04470617086790783
108,return,0.04436534442670714
109,boolean,0.043401663148608105
110,threads,0.04335970898794023
111,thread,0.04335970898794023
112,gui inthis,0.04205884440998888
113,include,0.04198604620471386
114,including,0.04198604620471386
115,environments,0.04061369277598359
116,addresses,0.04047250214633151
117,address,0.04047250214633151
118,literaltrue,0.04043226477174852
119,comparison,0.04043226477174839
120,stop,0.040323379347559356
121,calling returns,0.04029120882147805
122,instantiated,0.04014011366283905
123,platform,0.03993062091131227
124,specifically instantiate,0.03960196233215979
125,predefined,0.0395517180418154
126,window,0.03947882642385253
127,integer,0.03918690477450635
128,specific,0.03906381100148052
129,members,0.03892602291536909
131,statement,0.03885550884734258
130,statements,0.03885550884734258
132,byte,0.03861372510257588
133,shows,0.038535039293649015
134,trivialapplication,0.03830643235550389
135,hello,0.03729761858182164
136,elements,0.0371925737696177
137,element,0.0371925737696177
138,collection,0.03701458022890811
139,assigned,0.03636478200546515
140,assignments,0.03636478200546515
142,called,0.036217073216248945
141,calls,0.036217073216248945
143,typename,0.03569255728268238
144,instance,0.035332840752839816
145,value,0.03533184318185954
146,values,0.03533184318185954
147,push,0.035054806831350975
148,effect,0.03459961533790731
149,effects,0.03459961533790731
150,html,0.03431692121628051
151,align,0.03405982523747585
152,alt,0.034059825237475846
153,clone,0.033829098027402374
154,runtime,0.03376085698759805
155,unlike,0.03339019720347993
156,drawing,0.033251786649890744
157,draw,0.033251786649890744
158,arithmetic,0.03315089574924031
159,archives,0.033122616432667625
160,source,0.03311158861396441
161,interpreted,0.03291757815923248
162,interpreter,0.03291757815923248
163,tothe,0.0321882705906221
165,looks,0.031767173634670666
164,look,0.031767173634670666
166,length,0.03168327814920565
167,superclass,0.03118533484872888
168,portable,0.031067069719335833
169,namelistqualified,0.030940425215994983
170,declarations,0.0308092032862392
171,declare,0.0308092032862392
172,declaration,0.0308092032862392
173,equivalent,0.030710234049354544
